URL,Timestamp,Title,Content
https://www.speakev.com/forums/EV-Classifieds/?listing_type=sell,2024-07-13T16:13:34-0400,N/A,Content not found
https://www.speakev.com/threads/fiat-500e-icon-charging-cable.178951/post-3470630,2023-07-21T17:45:04-0400,Fiat 500e Icon Charging Cable,"Hi There

We will receive our new fiat 500e icon 2 months ahead of schedule, so I'm not very prepared.  Will the car come with a charging cable?

Do I need a home EV charger or can it be plugged into an ordinary house socket?

If I do get an EV charger, which one should I get, there are so many out there?

TIA
Camille"
https://www.speakev.com/threads/what-charging-cables-come-with-the-fiat-500e-icon.166541/post-3177426,2023-08-17T15:55:28-0400,What charging cables come with the fiat 500e icon?,"Hi there 

I have ordered a fiat 500e icon on lease which will come in march, i had ordered a 208 gt premium petrol but they have had a recall on the car and delivery will be god knows when and i need to make sure i had a car for when my current lease went back end of march to start/mid april.

So i took the plunge as i wanted a EV (i do not drive far tbh) and this car was really the only one i could afford at the time i ordered it about a week ago.....other cars have prices raised ALOT and alot of cars and petrol ones have 8 weeks delivery some i have seen 6 months wait lol.

Anyway for the time being i will not be getting a home charger as the prices of them are ridiculous, i am sure they are charging way way over the odds for them, 700-1200. there have been a few for 549 etc but these are with the grant off WHICH if i tried to order now would be too late anyway as they do not have slots for instillation before the grant ends and so id be paying full price....literally can not afford it, plus i am pretty sure we would need something upgraded with the main fuse too.

I plan on using public chargers, there is a pub near me that has a free 50kw charger long as you are in the pub, me and my friend meet once a month for fee and usually in there atleast 3 hrs talking so it should give decent range, and there are others locally that you pay for but still cheaper than petrol.

i do not mind using a granny cable at home for inbetween tbh.

anyway the question is what cables come with the car, as in the description it just stays ....Charging Cable - Mode 3 

would that be the 7kw one where you can either plug it into a home wall charger and public chargers that are 7kw, do you get the granny cable at all as i do not fancy paying £170 for one.

many thanks"
https://www.speakev.com/threads/fiat-500e-service-in-seattle-eastside.173077/post-3331356,2022-10-22T14:03:40-0400,Fiat 500e service in Seattle/Eastside?,"I had my 2015 Fiat 500e shipped from CA a few years ago.
Still going strong, but would like to have some things looked at.

Are there any places in the Seattle/Eastside area that can service a 500e?

Thanks!!"
https://www.speakev.com/threads/thoughts-on-the-fiat-500e-designio-by-kahn.179877/post-3492623,2023-09-12T09:05:29-0400,Thoughts on the Fiat 500e Designio by Kahn?,"The latest Fiat 500e La Prima Designio by Kahn. 

SPECIFICATION 

Front Bumper Vented Valance
Rear Bumper Vented Valance
Rear Upper Roof Wing
Front Vented Grill
Matt Black Side Skirts
Bonnet Mask - LED Light Delete
18"" Kahn Type 52 Forged Light Wheels
18"" Performance Tyre Package
Kahn Lowered Sports Suspension System - TUV Approved"
https://www.speakev.com/threads/fiat-500e-charging-issues.180301/post-3501970,2023-09-26T16:00:17-0400,Fiat 500e - charging issues,"Is there a way to delete (not just 'unselect') a charging schedule on the car? i.e. return to 'empty'?
Before I got the wallbox i scheduled a care charge (just as part of getting to know the car) I never used it & it remained unselected
I'm now having big charging issues; hard to tell if the problem is the car or the wallbox - or if they are confusing each other. So wondered if I could completely delete the car schedule to minimise confusion.
I'd also be interested in any other feedback about the wallbox + Fiat 500e; I think the fundamental problem is more likely to be to do with the wallbox

Thank you"
https://www.speakev.com/threads/first-car-fiat-500e-icon-2022.179501/post-3483811,2023-08-18T04:40:53-0400,First Car Fiat 500E Icon 2022,"Hello Everyone 

I have bought a Fiat 500E Icon 2022 - it is also my first car.

I have a few questions:

How easy is it for a fiat 500E to get stolen? What things can I do so it makes it harder for anyone to steal? Do I need a Faraday pouch?

Secondly, if anyone has a baby/child, have you put a baby seat in the back and how has it been for you? (I'm thinking to have a baby in a few years and my HP will last for 3 years so there will be some overlap before I get a diff car so may need to put a baby seat in) 

I also don't have a drop kerb and with some manoeuvring I can use my neighbours drop kerb...how badly would the car suspension get damaged if i drive off without using my neighbours drop kerb?

Do you have any other general advice for first time car owners?

Thank you in advance"
https://www.speakev.com/threads/fiat-500e-easywallbox-charger-installation.161038/post-3056369,2022-02-03T18:13:44-0500,Fiat 500e EasyWallBox Charger Installation,"Hi All, 

I was wondering if anyone had any advice.  I collect my Fiat 500e this weekend, it comes with a free wall charger (The EasyWallBox be Engie).  However I am struggling to get anyone to Install it.

It can be plugged into a standard mains outlet for 2.3KW, or installed properly for 7KW.  It has a DPM sensor for monitoring the load on the main fuse.

Ive got a call with Western Power (I am in South Wales) to takes us off a loop and upgrade our fuse to 80A (From 63A), and so far I have had two installers say they cannot help as they are not 'accredited' for that charger.  I contacted Fiat and they said to contact Engie, Engie said they do not keep a list of installer and instead just sent me the Installation manual for installers.  All the other installers ive contacted have either not responded to their ""contact me"" form, or don't answer the phone

Has anyone had any luck getting this charger installed?

I appreciate that most people would just get a podpoint or something installed instead of the Fiat one if they had to buy one."
https://www.speakev.com/threads/fiat-500e-for-sale-on-uk-plates.164024/post-3121840,2021-11-16T04:35:47-0500,Fiat 500e For Sale on UK Plates,"Don’t see many of these outside LA. If I hadn’t just leased a new e-Up for pennies, I’d be all over this for £10k and change.
Should think it’s a hoot to drive https://www.highpeakautosltd.co.uk/...017-fiat-500e-24kwh-stockport-202110128390044"
https://www.speakev.com/threads/fiat-500e-intelligent-speed-assist.160710/post-3048688,2024-02-24T11:47:28-0500,Fiat 500e intelligent speed assist,"Do any other 500e drivers have issues with the intelligent speed assist system?, My La Prima seems to identify signs correctly, but after a period of not seeing a sign, it checks the sat nav, and it appears to convert the sat nav speed from km to miles..... So a 30 sat nav signal displays as 20 mph.... 60 as 40mph etc. Lovely car, but this software bug is very annoying, and Fiat does not seem to have any answers!!!"
