Date,URL,Title,Comment
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"DonkeyApple said:
 I think full EV is the only and last chance for Jaguar.  And it's a market where there is zero point as of yet in building a product for folk without money, without income, without driveways.   And then there is zero point in going after the standard German stuff on driveways. I suspect for a modest volume producer in an expensive country the only sane option is to target the market that's buying Range Rovers, Taycans, which is clearly large enough. When one considers the modern history of Jaguar as large cars, very smooth to drive and with large engines capable of delivering large levels of relaxing torque then shrinking those large engines down to 3 pot turbo screamers to meet emission and tax criteria was a nonstarter. Only pure EV delivers on brand values and expectations and as they've not been successful in selling off Jaguar this is their only sane step forward. They're still going to be hobbled by LR being the SUV arm but a big GT and some crossovers of varying size should be enough?  Especially as all the Tuareg based SUVs seem to be much closer to being crossovers now than twenty years ago when they had to try and pretend to look like 4x4s. I do hope Jag succeed as there's a great heritage there and they've spent the last 20 years either kicking themselves in the balls or being kicked in the balls by others.   It's certainly very bold deciding to build in the U.K.Agree completely. With respect to the highlighted, we have one of each of a FFRR and Taycan as daily drivers.  The Taycan will soon go, when another FFRR will arrive.  Much as I’d sometimes prefer the driving dynamics of a large saloon, the market seems to have moved on from them. Range Rovers of various sizes really are the default choice for quite a few people, which presents a further problem for JLR: the Jaguar brand isn’t strong enough to go after the very top end (Bentley etc), so Jaguar’s strategy in the ~£100k+ sector relies on it cannibalising sales from its sibling (and that sibling isn’t going to not offer EVs)."
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"LooneyTunes said:
 Range Rovers of various sizes really are the default choice for quite a few people, which presents a further problem for JLR: the Jaguar brand isn’t strong enough to go after the very top end (Bentley etc), so Jaguar’s strategy in the ~£100k+ sector relies on it cannibalising sales from its sibling (and that sibling isn’t going to not offer EVs). Quite.I have a FFRR. But if it was the mid 90’s I would have had an XJ all day long.The biggest problem is that now the Range Rover goes round corners, does reasonable MPG & cruises comfortably at mororway speeds it does everything the old Range Rovers did, plus everything the XJ did as well.This ad could be for a FFRR:"
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"That's it, in a nutshell.For as long as anyone can remember, the XJ was Jaguar and that market is disappearing - rightly or wrongly.Even the A8 & 7er are really halo products these days - there's little other point in making them. The remaining market is the S-Class, because tradition.So what could Jaguar do? No good merely copying the Taycan, because if people want one, they'll buy the Porsche. Tradition...Jaguar tried copying BMW and the same rule applied.It's really hard to imagine quite what it would take, not to produce another 'me-too' product with no real USP.My fear is that Jaguar is now damaged goods (like Alfa) and will no longer be taken seriously in the real market outside of us aficionados, however well they make it."
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,Great news.  Just make it beautiful and you will have Western ex-BMW buyers queueing!Built right and specced right I can see this being an interesting competitor to the Audi GT and Taycan.
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"Robertb said:
 Great news.  Just make it beautiful and you will have Western ex-BMW buyers queueing!Built right and specced right I can see this being an interesting competitor to the Audi GT and Taycan.Hear hear! I'm sad to see the XJ go, wonder what was wrong with the electric XJ which meant the project needed to be canned at the 11th hour.. hopefully this marks a lovely return!Just wish I had 100k going spare for one. Had a rummage down the back of the sofa, and I'm thinking that 32p and a dusty M&M won't quite cut it."
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"blueacid said:
 Hear hear! I'm sad to see the XJ go, wonder what was wrong with the electric XJ which meant the project needed to be canned at the 11th hour.. hopefully this marks a lovely return!Just wish I had 100k going spare for one. Had a rummage down the back of the sofa, and I'm thinking that 32p and a dusty M&M won't quite cut it.The electric XJ was piggy backing on the Land Rover estate which was perceived to be the higher volume product and the one that could command the highest prices.  When that was pulled the XJ evaporated. I wonder if the GT isn't just the Land Rover estate project repackaged in a more appropriate shape and target market for Jaguar's brand?"
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"Robertb said:
 Great news.  Just make it beautiful and you will have Western ex-BMW buyers queueing!Built right and specced right I can see this being an interesting competitor to the Audi GT and Taycan.Positioned even better, it will sit in a different segment to even those. The Taycan and Audi GT are unashamedly sporting coupe-sque saloons where packing and space is sacrificed in the name of sporting looks and performance.I got talking to an external consultant to JLR at the gym, as mentioned on here a couple of months ago. He gave a closed insight into JLR future, specifically Jag; 'Presidential' was the description Jaguar were targeting.Put that in a true 4-door GT with better space, comfort, appointment and refinement (a la mini-Bentley approach) compared to the sportier Taycan and Audi, and they could find a useful niche....and a niche that would be arguably perfectly suited to the EV powertrain.FWIW, The second project the guy was working on was the Land Rover branding....the Land Rover name will be dropped from all models by 2025. Already, the badging is smaller and less distinctive with darker colours being used. The brands will be Range Rover, Discovery, Evoque, Defender etc."
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"Julian Scott said:

Robertb said:
 Great news.  Just make it beautiful and you will have Western ex-BMW buyers queueing!Built right and specced right I can see this being an interesting competitor to the Audi GT and Taycan.Positioned even better, it will sit in a different segment to even those. The Taycan and Audi GT are unashamedly sporting coupe-sque saloons where packing and space is sacrificed in the name of sporting looks and performance.I got talking to an external consultant to JLR at the gym, as mentioned on here a couple of months ago. He gave a closed insight into JLR future, specifically Jag; 'Presidential' was the description Jaguar were targeting.Put that in a true 4-door GT with better space, comfort, appointment and refinement (a la mini-Bentley approach) compared to the sportier Taycan and Audi, and they could find a useful niche....and a niche that would be arguably perfectly suited to the EV powertrain.FWIW, The second project the guy was working on was the Land Rover branding....the Land Rover name will be dropped from all models by 2025. Already, the badging is smaller and less distinctive with darker colours being used. The brands will be Range Rover, Discovery, Evoque, Defender etc.4th brand is Jaguar, not Evoque, apparently. They're offering dealers a pick n' choose option.The description of the new model sounds about right - I'm just having a hard time imagining it ATM.The prototype of the dropped XJ just looked wrongly-proportioned to me - a sort of Bentley hatchback.The new one ought to look a lot more Jaguar-like."
Friday 21st April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"The problem is with manufacturers going electric they all have the same type of engines, layout, batteries, power converters etc.So smaller differences between a £100k Jag/ Merc EV and a £40k Kia / VW EV. They will all be nippy, smooth, quite and relaxing with the same characteristics. So hard to justify paying a premium.  Whereas the difference between a V8 Jag / Merc and 1.6 4pot Kia/Ford is more luxury over consumable product in what you got for the money and easier to justify a larger price premium. Edited by Mouse Rat on Friday 21st April 16:14"
Saturday 22nd April 2023,https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=2031582&i=20,RE: Jaguar announces electric four-door GT for 2025,"Mouse Rat said:
 The problem is with manufacturers going electric they all have the same type of engines, layout, batteries, power converters etc.So smaller differences between a £100k Jag/ Merc EV and a £40k Kia / VW EV. They will all be nippy, smooth, quite and relaxing with the same characteristics. So hard to justify paying a premium.  Whereas the difference between a V8 Jag / Merc and 1.6 4pot Kia/Ford is more luxury over consumable product in what you got for the money and easier to justify a larger price premium. Edited by Mouse Rat on Friday 21st April 16:14
I have a friend that has a Tesla M3 & a Fiat 500E - the drivetrains are notably different.Even closer, drive a Tesla, then drive a Taycan and I'd say there was still a notable difference?The only thing that isn't as dramatically and noticeably different is the engine note."
