Timestamp,Username,VideoID,Comment,Date
2024-07-16T22:46:44Z,@mumwifeteacher,-GYjfh1gpkM,Shifter is cheap looking and over sized so pus it Turns the wrong way.,2024-07-16T22:46:44Z
2024-07-03T07:25:40Z,@ChrisHaupt,-GYjfh1gpkM,I think you'll find it's pronounced Hyundai,2024-07-03T07:25:40Z
2024-06-23T20:22:58Z,@LKxxROXSTAR15,-GYjfh1gpkM,LOL all these BTS references were fun hahaha,2024-06-23T20:22:58Z
2024-06-22T03:02:57Z,@samuelbrown4764,-GYjfh1gpkM,"I work at Hyundai, and I’m not an EV fan at all, but we use a Kona electric as our service shuttle, and holy hell they’re so fun to drive. So smooth, and comfortable drive too. And so much torque",2024-06-22T03:02:57Z
2024-06-01T14:09:01Z,@renbangbprd7236,-GYjfh1gpkM,Is rear seat can contains 3 adults comfortably?,2024-06-01T14:09:01Z
2024-05-06T14:40:22Z,@aacmove,-GYjfh1gpkM,What happened to their design team. Looks like the same people who designed the Ssangyon Rodius. Bad bad bad people.,2024-05-06T14:40:22Z
2024-03-22T20:32:03Z,@ferrangarrigaolle2511,-GYjfh1gpkM,"I don't get the price of this car. Top trim is £45k. Tesla 3 RWD is £39k with bigger battery, more efficient, matrix LED headlights, charges way faster, has a panoramic sunroof, bigger trunk, its own charging network and a router EV planner with EV charging stops automatically calculated...",2024-03-22T21:04:23Z
2024-03-08T17:15:58Z,@ConstantinBanciu,-GYjfh1gpkM,"Does anyone ordered the new long range Kona recently? Is the  218hp electric motor with 65,4 kWh battery still available? I ordered a new Kona in Romania and only the 204hp and 64,8kwh configuration is available.",2024-03-08T17:15:58Z
2024-02-11T18:27:57Z,@jamespaul2587,-GYjfh1gpkM,"It's unfortunate that the exterior is so ugly, as the drivetrain and interior are substantially improved.",2024-02-11T18:27:57Z
2024-02-10T18:51:43Z,@user-if6zu4fw1p,-GYjfh1gpkM,"Cool review! Also,  why does the reviewer look like Jennifer Aniston from the 90s?",2024-02-10T18:51:43Z
2024-02-08T11:20:32Z,@peterbee8892,-GYjfh1gpkM,Does it support bi directional charging,2024-02-08T11:20:32Z
2024-02-07T21:54:41Z,@hectorheath9742,-GYjfh1gpkM,"Nothing said about the quality of the mechanicals, the subframe, the gearbox, the electric motor, the paint quality.",2024-02-07T21:54:41Z
2024-02-04T08:47:57Z,@kaprunski,-GYjfh1gpkM,"I went to view a Kona yesterday, and I really like it. As a Kia owner, I was tempted by the Niro EV, but I like the Kona much better both inside and out. I am not currently an EV driver and still wondering if this is the way forward.",2024-02-04T08:47:57Z
2024-01-20T08:30:41Z,@zphydrian,-GYjfh1gpkM,So you didn't actually answer the question in your title! That's frustrating. Is it better than the Niro EV or not?,2024-01-20T08:30:41Z
2024-01-18T11:32:45Z,@sbomorse,-GYjfh1gpkM,Hyundai haven't made the traction control better - instead they've just dropped torque from 395NM to only 255NM,2024-01-18T11:32:45Z
2024-01-18T11:29:26Z,@sbomorse,-GYjfh1gpkM,"I have a 2021 Kona Electric Ultimate. To buy it now it's almost £4K more and the battery is no better. And even then you need to add £3K worth of option packs to get a top spec!
Hyundai's avarice means I won't be buying another Kona. It's a shame as I love my Kona and have gotten over 300 miles repeatedly.",2024-01-18T11:29:26Z
2024-01-14T03:57:37Z,@starpawsy,-GYjfh1gpkM,"Rental giants Hertz and Sixt have both DUMPED Teslas - indeed, all EVs - , citing cost of repairs being high enough that it significantly impacted earnings.",2024-01-14T03:57:37Z
2024-01-14T03:48:51Z,@yvesbourdeau2557,-GYjfh1gpkM,How come you did not talk about the 100 pounds of torque this new model lost ??,2024-01-14T03:48:51Z
2023-12-26T10:39:04Z,@singleta,-GYjfh1gpkM,"Yes, the heat pump costs £900 on the Niro EV but the price of the top spec Niro is about £800 less than the top spec Kona so it's not so much of a difference",2023-12-26T10:39:04Z
2023-12-23T04:57:09Z,@GradGoose,-GYjfh1gpkM,"Complaining that the steering wheel blocks the display, but can't you just adjust the steering wheel's tilt to be able to see the screen better?",2023-12-23T04:57:09Z
